serial_number,hsc_code,country_origin,make,model,year,engine_cc,description,cif_usd,database_month
1150,8703.24.90,DE,BMW,X6,2015,3500,"BMW X6 (Diesel), 2015",19845.72,"October 2025"
1151,8703.24.90,DE,BMW,X6,2016,3000,"BMW X6 (Diesel), 2016",24223.68,"October 2025"
1152,8703.24.90,DE,BMW,X6,2016,3500,"BMW X6 (Diesel), 2016",27224.6,"October 2025"
1153,8703.24.90,DE,BMW,X6,2017,3000,"BMW X6 (Diesel), 2017",26253.55,"October 2025"
1154,8703.24.90,DE,BMW,X6,2018,3000,"BMW X6 (Diesel), 2018",31015.37,"October 2025"
1155,8703.24.90,DE,BMW,X6,2019,3000,"BMW X6 (Diesel), 2019",35798.24,"October 2025"
1156,8703.24.90,DE,BMW,X6,2020,3000,"BMW X6 (Diesel), 2020",39784.85,"October 2025"
1157,8703.24.90,DE,BMW,X6,2021,3000,"BMW X6 (Diesel), 2021",44875.62,"October 2025"
1158,8703.24.90,DE,BMW,X6,2022,3000,"BMW X6 (Diesel), 2022",49024.35,"October 2025"
1159,8703.24.90,DE,BMW,X6,2010,3000,"BMW X6 (Petrol), 2010",7712.45,"October 2025"
1160,8703.24.90,DE,BMW,X6,2011,3000,"BMW X6 (Petrol), 2011",8874.75,"October 2025"
1161,8703.23.90,DE,BMW,X6,2012,3000,"BMW X6 (Petrol), 2012",11117.64,"October 2025"
1162,8703.24.90,DE,BMW,X6,2013,3000,"BMW X6 (Petrol), 2013",11960.24,"October 2025"
1163,8703.24.90,DE,BMW,X6,2014,3000,"BMW X6 (Petrol), 2014",12980.99,"October 2025"
1164,8703.24.90,DE,BMW,X6,2015,3000,"BMW X6 (Petrol), 2015",14361.33,"October 2025"
1165,8703.24.90,DE,BMW,X6,2016,3000,"BMW X6 (Petrol), 2016",17183.9,"October 2025"
1166,8703.24.90,DE,BMW,X6,2017,3000,"BMW X6 (Petrol), 2017",22161.67,"October 2025"
1167,8703.24.90,DE,BMW,X6,2018,3000,"BMW X6 (Petrol), 2018",27138.44,"October 2025"
1168,8703.24.90,DE,BMW,X6,2019,3000,"BMW X6 (Petrol), 2019",31892.98,"October 2025"
1169,8703.24.90,DE,BMW,X6,2020,3000,"BMW X6 (Petrol), 2020",38271.57,"October 2025"
1170,8703.24.90,DE,BMW,X6,2021,3000,"BMW X6 (Petrol), 2021",43654.28,"October 2025"
1171,8703.24.90,DE,BMW,X6,2022,3000,"BMW X6 (Petrol), 2022",48745.25,"October 2025"
1172,8703.24.90,DE,BMW,X6,2010,4400,"BMW X6 Active Hybrid 2010",18268.73,"October 2025"
1173,8703.24.90,DE,BMW,X6,2011,4400,"BMW X6 Active Hybrid 2011",20679.57,"October 2025"
1174,8703.24.90,DE,BMW,X6,2012,4400,"BMW X6 Active Hybrid 2012",21911.13,"October 2025"
1175,8703.24.90,DE,BMW,X6,2013,4400,"BMW X6 Active Hybrid 2013",23751.0,"October 2025"
1176,8703.24.90,DE,BMW,X6,2014,4400,"BMW X6 Active Hybrid 2014",25610.92,"October 2025"
1177,8703.24.90,DE,BMW,X6,2015,4400,"BMW X6 Active Hybrid 2015",27460.08,"October 2025"
1178,8703.24.90,DE,BMW,X6,2016,4400,"BMW X6 Active Hybrid 2016",31092.26,"October 2025"
1179,8703.24.90,DE,BMW,X6,2010,4400,"BMW X6 M, 2010",14522.07,"October 2025"
1180,8703.24.90,DE,BMW,X6,2011,4400,"BMW X6 M, 2011",15974.28,"October 2025"
1181,8703.24.90,DE,BMW,X6,2012,4400,"BMW X6 M, 2012",17571.71,"October 2025"
1182,8703.24.90,DE,BMW,X6,2013,4400,"BMW X6 M, 2013",19328.88,"October 2025"
1183,8703.24.90,DE,BMW,X6,2014,4400,"BMW X6 M, 2014",21261.77,"October 2025"
1184,8703.24.90,DE,BMW,X6,2015,4400,"BMW X6 M, 2015",23387.95,"October 2025"
1185,8703.24.90,DE,BMW,X6,2016,4400,"BMW X6 M, 2016",26896.14,"October 2025"
1186,8703.24.90,DE,BMW,X6,2020,4400,"BMW X6 M, Competition 2020",57410.47,"October 2025"
1187,8703.24.90,DE,BMW,X6,2021,4400,"BMW X6 M, Competition 2021",63789.41,"October 2025"
1188,8703.24.90,DE,BMW,X6,2022,4400,"BMW X6 M, Competition 2022",70877.13,"October 2025"
1189,8703.24.90,DE,BMW,X6,2023,4400,"BMW X6 M, Competition 2023",78752.36,"October 2025"
1190,8703.24.90,DE,BMW,X6,2013,3000,"BMW X6 M50D (Diesel), 2013",10574.45,"October 2025"
1191,8703.24.90,DE,BMW,X6,2010,3000,"BMW X6 X Drive (Diesel), 2010",13426.57,"October 2025"
1192,8703.24.90,DE,BMW,X6,2014,3000,"BMW X6 X Drive 30D, 2014",17345.36,"October 2025"
1193,8703.24.90,DE,BMW,X6,2015,3000,"BMW X6 X Drive 30D, 2015",18650.68,"October 2025"
1194,8703.24.90,DE,BMW,X6,2016,3000,"BMW X6 X Drive 30D, 2016",20579.22,"October 2025"
1195,8703.24.90,DE,BMW,X6,2010,4400,"BMW X6 X Drive, 2010",16783.21,"October 2025"
1196,8703.24.90,DE,BMW,X6,2011,4400,"BMW X6 X Drive, 2011",20329.33,"October 2025"
1197,8703.24.90,DE,BMW,X6,2012,4400,"BMW X6 X Drive, 2012",22362.26,"October 2025"
1198,8703.24.90,DE,BMW,X6,2013,4400,"BMW X6 X Drive, 2013",24070.18,"October 2025"
1199,8703.24.90,DE,BMW,X6,2014,4400,"BMW X6 X Drive, 2014",26122.53,"October 2025"
1200,8703.24.90,DE,BMW,X6,2015,4400,"BMW X6 X Drive, 2015",28088.37,"October 2025"
1201,8703.24.90,DE,BMW,X6,2016,4400,"BMW X6 X Drive, 2016",30992.81,"October 2025"
1202,8703.23.90,DE,BMW,X7,2020,3000,"BMW X7, M50iX 3.0 (Petrol), 2020",49519.67,"October 2025"
1203,8703.23.90,DE,BMW,X7,2021,3000,"BMW X7, M50iX 3.0 (Petrol), 2021",50428.75,"October 2025"
1204,8703.24.90,DE,BMW,X7,2019,3000,"BMW X7, X-Drive 40d, 2019",48073.36,"October 2025"
1205,8703.24.90,DE,BMW,X7,2020,3000,"BMW X7, X-Drive 40d, 2020",51984.68,"October 2025"
1206,8703.24.90,DE,BMW,X7,2021,3000,"BMW X7, X-Drive 40d, 2021",56500.25,"October 2025"
1207,8703.23.90,DE,BMW,X7,2022,3000,"BMW X7, X-Drive 40d, 2022",62001.57,"October 2025"
1208,8703.23.90,DE,BMW,X7,2023,3000,"BMW X7, X-Drive 40d, 2023",63794.39,"October 2025"
1209,8703.24.90,DE,BMW,X7,2019,3000,"BMW X7, X-Drive 40i, 2019",46115.62,"October 2025"
1210,8703.24.90,DE,BMW,X7,2020,3000,"BMW X7, X-Drive 40i, 2020",50727.19,"October 2025"
1211,8703.24.90,DE,BMW,X7,2021,3000,"BMW X7, X-Drive 40i, 2021",55799.91,"October 2025"
1212,8703.23.90,DE,BMW,X7,2022,3000,"BMW X7, X-Drive 40i, 2022",61379.9,"October 2025"
1213,8703.24.90,DE,BMW,X7,2019,4400,"BMW X7, X-Drive 50i, 2019",66803.25,"October 2025"
1214,8703.24.90,DE,BMW,X7,2020,4400,"BMW X7, X-Drive 50i, 2020",73483.57,"October 2025"
1215,8703.23.90,DE,BMW,X7,2021,4400,"BMW X7, X-Drive 50i, 2021",80831.93,"October 2025"
1216,8703.23.90,DE,BMW,X7,2022,4400,"BMW X7, X-Drive 50i, 2022",88915.12,"October 2025"
1217,8703.23.90,DE,BMW,Z4,2019,2000,"BMW Z4, Coupe, 2019",21427.05,"October 2025"
1218,8703.23.90,DE,BMW,Z4,2010,2000,"BMW Z4, Sedan, 2010",6860.14,"October 2025"
1219,8703.23.90,DE,BMW,Z4,2010,2500,"BMW Z4, Sedan, 2010",6928.75,"October 2025"
1220,8703.23.90,DE,BMW,Z4,2011,2000,"BMW Z4, Sedan, 2011",7205.12,"October 2025"
1221,8703.23.90,DE,BMW,Z4,2011,2500,"BMW Z4, Sedan, 2011",7277.17,"October 2025"
1222,8703.23.90,DE,BMW,Z4,2011,3000,"BMW Z4, Sedan, 2011",7486.15,"October 2025"
1223,8703.23.90,DE,BMW,Z4,2012,3000,"BMW Z4, Sedan, 2012",11407.84,"October 2025"
1224,8703.23.90,DE,BMW,Z4,2013,3000,"BMW Z4, Sedan, 2013",13506.93,"October 2025"
1225,8703.23.90,DE,BMW,Z4,2014,3000,"BMW Z4, Sedan, 2014",15258.75,"October 2025"
1226,8703.23.90,DE,BMW,Z4,2011,2000,"BMW Z4, Sedan, 30i 2011",11693.96,"October 2025"
1227,8703.23.90,DE,BMW,Z4,2012,2000,"BMW Z4, Sedan, 30i 2012",13097.24,"October 2025"
1228,8703.23.90,DE,BMW,Z4,2013,2000,"BMW Z4, Sedan, 30i 2013",15061.83,"October 2025"
1229,8703.23.90,DE,BMW,Z4,2014,2000,"BMW Z4, Sedan, 30i 2014",17321.1,"October 2025"
1230,8703.22.90,DE,BMW,Series,2018,3000,"BMW, 3 Series, M340i (Petrol), 2018",22525.98,"October 2025"
1231,8703.22.90,DE,BMW,Series,2019,3000,"BMW, 3 Series, M340i (Petrol), 2019",24754.36,"October 2025"
1232,8703.22.90,DE,BMW,Series,2020,3000,"BMW, 3 Series, M340i (Petrol), 2020",28247.54,"October 2025"
1233,8703.22.90,DE,BMW,M3,2022,3000,"BMW, M3 G80 (Petrol), Competition, 2022",43652.57,"October 2025"
1234,8703.22.90,DE,BMW,M3,2023,3000,"BMW, M3 G80 (Petrol), Competition, 2023",45318.95,"October 2025"
1235,8429.19.00,DE,Unknown,Unknown,2017,6060,"Bomag Asphalt Paver, Model BF 800C, 2017",284185.23,"October 2025"
1236,8429.19.00,DE,Unknown,Unknown,2012,2700,"Bomag Double Drum Hand Roller, Model BW85H, 2012",6061.92,"October 2025"
1237,8429.19.00,DE,Unknown,Unknown,2013,2700,"Bomag Double Drum Hand Roller, Model BW85H, 2013",6728.73,"October 2025"
1238,8429.19.00,DE,Unknown,Unknown,2014,2700,"Bomag Double Drum Hand Roller, Model BW85H, 2014",7536.18,"October 2025"
1239,8429.19.00,DE,Unknown,Unknown,1994,1126,"Bomag Double Drum Pneumatic Roller, Model BW3R, 1994",8595.82,"October 2025"
1240,8429.19.00,DE,Unknown,Unknown,1995,1126,"Bomag Double Drum Pneumatic Roller, Model BW3R, 1995",9048.23,"October 2025"
1241,8429.19.00,DE,Unknown,Unknown,1996,1126,"Bomag Double Drum Pneumatic Roller, Model BW3R, 1996",10857.87,"October 2025"
1245,8429.19.00,DE,Unknown,Unknown,2015,4038,"Bomag Drum Compactor, Model BW211D, 2015",55472.65,"October 2025"
1246,8429.19.00,DE,Unknown,Unknown,2016,4038,"Bomag Drum Compactor, Model BW211D, 2016",62215.26,"October 2025"
1247,8429.19.00,IT,Unknown,Unknown,2017,6060,"Bomag Paver, Model BF800 C , 2017",364267.76,"October 2025"
1248,8429.19.00,DE,Unknown,Unknown,2007,4000,"Bomag Pneumatic Roller, Model BW24RH, 2007",49172.66,"October 2025"
1249,8429.19.00,DE,Unknown,Unknown,2008,4000,"Bomag Pneumatic Roller, Model BW24RH, 2008",54581.65,"October 2025"
1250,8429.19.00,DE,Unknown,Unknown,2009,4000,"Bomag Pneumatic Roller, Model BW24RH, 2009",60585.63,"October 2025"
1251,8429.19.00,DE,Unknown,Unknown,2010,4000,"Bomag Pneumatic Roller, Model BW24RH, 2010",67250.05,"October 2025"
1252,8429.19.00,DE,Unknown,Unknown,2011,4000,"Bomag Pneumatic Roller, Model BW24RH, 2011",74647.5,"October 2025"
1253,8429.19.00,DE,Unknown,Unknown,2002,6201,"Bomag Single Drum Roller, Model BM219D4D-2143, 2002",32311.4,"October 2025"
1254,8429.19.00,DE,Unknown,Unknown,2003,6201,"Bomag Single Drum Roller, Model BM219D4D-2143, 2003",35901.55,"October 2025"
1255,8429.19.00,DE,Unknown,Unknown,2004,6201,"Bomag Single Drum Roller, Model BM219D4D-2143, 2004",39890.61,"October 2025"
1256,8429.19.00,DE,Unknown,Unknown,2005,6201,"Bomag Single Drum Roller, Model BM219D4D-2143, 2005",44322.9,"October 2025"
1257,8429.19.00,DE,Unknown,Unknown,2006,6201,"Bomag Single Drum Roller, Model BM219D4D-2143, 2006",46655.69,"October 2025"
1258,8429.19.00,DE,Unknown,Unknown,2007,6201,"Bomag Single Drum Roller, Model BM219D4D-2143, 2007",49111.25,"October 2025"
1260,8429.19.00,DE,Unknown,Unknown,2021,3600,"Bomag Single Drum Roller, Model BW211D-40, 2021",45872.48,"October 2025"
1261,8429.19.00,DE,Unknown,Unknown,2013,4038,"Bomag Single Drum Roller, Model BW213D-40, 2013",79935.82,"October 2025"
1263,8429.19.00,DE,Unknown,Unknown,2007,4000,"Bomag Single Drum Vibrator Roller, Model BW212 D-40, 2007",21837.84,"October 2025"
1266,8429.19.00,DE,Unknown,Unknown,2006,5030,"Bomag Single Drum Vibrator Roller, Model BW219 -DH4, 2006",32320.0,"October 2025"
1271,8429.19.00,DE,Unknown,Unknown,2020,1647,"Bomag Vibratory Asphalt Roller, Model BW 120AD -5, 2020",28221.23,"October 2025"
1272,8704.21.90,JP,Unknown,Unknown,2013,80,"Broce Road Broom/Sweeper , Model RJ350,2013",30485.77,"October 2025"
1287,8703.24.90,JP,BYD,Petrol,2015,2000,"BYD (Petrol), model S7, 2015",14521.23,"October 2025"
1288,8703.21.90,CN,BYD,S7,2015,2000,"BYD, S7 (Petrol), Station Wagon, 2015",8452.63,"October 2025"
1289,8703.23.90,JP,Cadillac,CTS,2010,3000,"Cadillac CTS 3.0, Model X322C, 2010",6934.08,"October 2025"
1290,8703.23.90,JP,Cadillac,CTS,2012,3000,"Cadillac CTS 3.0, Model X322C, 2012",7627.49,"October 2025"
1291,8703.23.90,JP,Cadillac,CTS,2013,3000,"Cadillac CTS 3.0, Model X322C, 2013",8390.24,"October 2025"
1292,8429.59.00,NL,Cadillac,CTS,2014,3000,"Cadillac CTS 3.0, Model X322C, 2014",9229.26,"October 2025"
1293,8703.23.90,JP,Cadillac,CTS,2011,3564,"Cadillac CTS, 2011",8667.6,"October 2025"
1294,8703.23.90,JP,Cadillac,SRX,2011,3000,"Cadillac SRX (Petrol), Model T166C, 2011",8754.28,"October 2025"
1295,8716.39.90,CN,Unknown,Unknown,2019,,"Calabre, 3 Axle Flatbed Trailer, 2019",23247.96,"October 2025"
1296,8716.39.90,CN,Unknown,Unknown,2020,,"Calabre, 3 Axle Flatbed Trailer, 2020",27432.6,"October 2025"
1304,8703.24.90,US,Cardillac,Escalade,2010,5300,"Cardillac Escalade D/Cabin Pickup, 5.3L V8, 2010",20176.84,"October 2025"
1305,8703.24.90,US,Cardillac,Escalade,2010,6200,"Cardillac Escalade D/Cabin Pickup, 6.2L V8, 2010",21185.68,"October 2025"
1306,8703.24.90,US,Cardillac,Escalade,2010,6200,"Cardillac Escalade ESV, 6.2L V8, 2010",19785.46,"October 2025"
1307,8703.24.90,US,Cardillac,Escalade,2011,6200,"Cardillac Escalade, 6.2L SUV, 2011",18044.44,"October 2025"
1308,8703.24.90,US,Cardillac,Escalade,2012,6200,"Cardillac Escalade, 6.2L SUV, 2012",18796.29,"October 2025"
1309,8709.19.00,CA,Cardillac,Escalade,2013,6200,"Cardillac Escalade, 6.2L SUV, 2013",19579.47,"October 2025"
1310,8709.19.00,CA,Cardillac,Escalade,2014,6200,"Cardillac Escalade, 6.2L SUV, 2014",20395.28,"October 2025"
1311,8709.19.00,CA,Cardillac,Escalade,2015,6200,"Cardillac Escalade, 6.2L SUV, 2015",21245.08,"October 2025"
1312,8709.19.00,CA,Cardillac,Escalade,2016,6200,"Cardillac Escalade, 6.2L SUV, 2016",22130.29,"October 2025"
1313,8709.19.00,CA,Cardillac,Escalade,2017,6200,"Cardillac Escalade, 6.2L SUV, 2017",22814.74,"October 2025"
1314,8709.19.00,CA,Cardillac,Escalade,2018,6200,"Cardillac Escalade, 6.2L SUV, 2018",23765.35,"October 2025"
1315,8709.19.00,CA,Cardillac,Escalade,2019,6200,"Cardillac Escalade, 6.2L SUV, 2019",25016.16,"October 2025"
1316,8709.19.00,CA,Cardillac,Escalade,2020,6200,"Cardillac Escalade, 6.2L SUV, 2020",26058.5,"October 2025"
1317,8709.19.00,CA,Cardillac,Escalade,2021,6200,"Cardillac Escalade, 6.2L SUV, 2021",26590.3,"October 2025"
1318,8709.19.00,CA,Cardillac,Escalade,2022,6200,"Cardillac Escalade, 6.2L SUV, 2022",28438.57,"October 2025"
1319,8709.19.00,CA,Cardillac,Escalade,2023,6200,"Cardillac Escalade, 6.2L SUV, 2023",35487.62,"October 2025"
1320,8709.19.00,CA,Unknown,Unknown,2004,2830,"Carterpillar Excavator, model 308CCR, 2004",23417.87,"October 2025"
1321,8709.19.00,CA,Unknown,Unknown,2005,2830,"Carterpillar Excavator, model 308CCR, 2005",27861.45,"October 2025"
1322,8709.19.00,CA,Unknown,Unknown,2006,2830,"Carterpillar Excavator, model 308CCR, 2006",32060.65,"October 2025"
1323,8709.19.00,CA,Unknown,Unknown,2007,2830,"Carterpillar Excavator, model 308CCR, 2007",38927.42,"October 2025"
1324,8709.19.00,CA,Unknown,Unknown,2008,2830,"Carterpillar Excavator, model 308CCR, 2008",44586.06,"October 2025"
1325,8709.19.00,CA,Unknown,Unknown,2009,2830,"Carterpillar Excavator, model 308CCR, 2009",49295.24,"October 2025"
1326,8709.19.00,CA,Unknown,Unknown,2004,3000,"Carterpillar Wheelloader, model 901B, 2004",30443.23,"October 2025"
1327,8709.19.00,CA,Unknown,Unknown,2005,3000,"Carterpillar Wheelloader, model 901B, 2005",36219.89,"October 2025"
1328,8709.19.00,CA,Unknown,Unknown,2006,3000,"Carterpillar Wheelloader, model 901B, 2006",41678.85,"October 2025"
1329,8709.19.00,CA,Unknown,Unknown,2007,3000,"Carterpillar Wheelloader, model 901B, 2007",50605.64,"October 2025"
1330,8709.19.00,CA,Unknown,Unknown,2008,3000,"Carterpillar Wheelloader, model 901B, 2008",57961.88,"October 2025"
1331,8709.19.00,CA,Unknown,Unknown,2009,3000,"Carterpillar Wheelloader, model 901B, 2009",64083.81,"October 2025"
1332,8716.39.90,GB,Unknown,Unknown,2006,,"Cartwright Flat Bed Trailer, 4 Axle, 2006",10653.59,"October 2025"
1333,8429.19.00,NL,Case,Agricultural,1990,85,"Case Agricultural Tractor, Model 1690, 1990 and below",5012.62,"October 2025"
1334,8429.19.00,NL,Case,Agricultural,2020,3908,"Case Agricultural Tractor, Model JX95, 2020",20124.58,"October 2025"
1335,8429.19.00,UK,Case,Back,2007,4457,"Case Back Hoe Loader, Model 580SR, 2007",39405.0,"October 2025"
1336,8429.19.00,UK,Case,Back,1990,4457,"Case Back Hoe Loader, Model 580SR,1990 and below",8901.29,"October 2025"
1337,8429.19.00,UK,Case,Back,1991,4457,"Case Back Hoe Loader, Model 580SR,1991",9613.4,"October 2025"
1338,8429.19.00,UK,Case,Back,1992,4457,"Case Back Hoe Loader, Model 580SR,1992",10478.6,"October 2025"
1339,8429.19.00,UK,Case,Back,1993,4457,"Case Back Hoe Loader, Model 580SR,1993",11526.46,"October 2025"
1341,8429.19.00,JP,Case,Crawler,1994,6980,"Case Crawler Excavator Model 9050, 1994",36540.0,"October 2025"
1344,8429.59.00,US,Caterpillar,Bulldozer,1994,10205,"Caterpillar Bulldozer D8N, 1994",53835.95,"October 2025"
1346,8429.59.00,US,Caterpillar,Bulldozer,1999,9282,"Caterpillar Bulldozer, Model 594, 1999",83935.05,"October 2025"
1347,8429.59.00,US,Caterpillar,Skid,2013,51,"Caterpillar Skid Steer Loader, Model 216B3, 2013",29908.4,"October 2025"
1348,8429.19.00,UK,Caterpillar,416B,1992,74,"Caterpillar 416B Back Hoe Loader, 1992",17349.45,"October 2025"
1349,8429.19.00,UK,Caterpillar,416B,1993,74,"Caterpillar 416B Back Hoe Loader, 1993",18216.92,"October 2025"
1350,8429.19.00,UK,Caterpillar,416B,1994,74,"Caterpillar 416B Back Hoe Loader, 1994",19127.77,"October 2025"
1351,8429.19.00,UK,Caterpillar,416B,1995,74,"Caterpillar 416B Back Hoe Loader, 1995",20084.16,"October 2025"
1352,8429.19.00,UK,Caterpillar,428B,1992,4400,"Caterpillar 428B Back Hoe Loader, 1992",22312.39,"October 2025"
1353,8429.19.00,UK,Caterpillar,428B,1993,4400,"Caterpillar 428B Back Hoe Loader, 1993",23428.01,"October 2025"
1354,8429.19.00,UK,Caterpillar,428B,1994,4400,"Caterpillar 428B Back Hoe Loader, 1994",24599.41,"October 2025"
1355,8429.19.00,UK,Caterpillar,428B,1995,4400,"Caterpillar 428B Back Hoe Loader, 1995",25829.38,"October 2025"
1356,8429.19.00,UK,Caterpillar,428B,1996,4400,"Caterpillar 428B Back Hoe Loader, 1996",27120.85,"October 2025"
1357,8429.19.00,UK,Caterpillar,428C,1997,4400,"Caterpillar 428C Back Hoe Loader, 1997",28476.9,"October 2025"
1358,8429.19.00,UK,Caterpillar,428C,1998,4400,"Caterpillar 428C Back Hoe Loader, 1998",30493.53,"October 2025"
1359,8429.19.00,UK,Caterpillar,428C,1999,4400,"Caterpillar 428C Back Hoe Loader, 1999",32461.4,"October 2025"
1360,8429.19.00,UK,Caterpillar,428C,2000,4400,"Caterpillar 428C Back Hoe Loader, 2000",37269.86,"October 2025"
1371,8709.19.00,CA,Caterpillar,6x6,2001,10000,"Caterpillar 725 6x6 Articulated Dump Truck (23 Ton), 2001",32425.89,"October 2025"
1372,8709.19.00,CA,Caterpillar,6x6,2002,10000,"Caterpillar 725 6x6 Articulated Dump Truck (23 Ton), 2002",35112.68,"October 2025"
1373,8709.19.00,CA,Caterpillar,Dump,2003,5423,"Caterpillar 730 Dump Truck, 2003",54116.79,"October 2025"
1374,8709.19.00,CA,Caterpillar,Dump,2004,5423,"Caterpillar 730 Dump Truck, 2004",57978.9,"October 2025"
1375,8709.19.00,CA,Caterpillar,Dump,2005,5423,"Caterpillar 730 Dump Truck, 2005",70598.06,"October 2025"
1376,8709.19.00,CA,Caterpillar,Dump,2006,5423,"Caterpillar 730 Dump Truck, 2006",74447.7,"October 2025"
1377,8709.19.00,CA,Caterpillar,6x6,2003,22170,"Caterpillar 735 6x6 Articulated Dump Truck, 2003",55740.3,"October 2025"
1378,8709.19.00,CA,Caterpillar,6x6,2003,23290,"Caterpillar 735 6x6 Articulated Dump Truck, 2003",54116.79,"October 2025"
1379,8709.19.00,CA,Caterpillar,6x6,2004,22170,"Caterpillar 735 6x6 Articulated Dump Truck, 2004",59718.27,"October 2025"
1380,8709.19.00,CA,Caterpillar,6x6,2004,23290,"Caterpillar 735 6x6 Articulated Dump Truck, 2004",57978.9,"October 2025"
1381,8709.19.00,CA,Caterpillar,6x6,2005,22170,"Caterpillar 735 6x6 Articulated Dump Truck, 2005",72716.0,"October 2025"
1382,8709.19.00,CA,Caterpillar,6x6,2005,23290,"Caterpillar 735 6x6 Articulated Dump Truck, 2005",70598.06,"October 2025"
1383,8709.19.00,CA,Caterpillar,6x6,2006,22170,"Caterpillar 735 6x6 Articulated Dump Truck, 2006",76681.13,"October 2025"
1384,8709.19.00,CA,Caterpillar,6x6,2006,23290,"Caterpillar 735 6x6 Articulated Dump Truck, 2006",74447.7,"October 2025"
1385,8709.19.00,CA,Caterpillar,6x6,2003,18048,"Caterpillar 735 6x6 Dump Truck, 2003",49197.08,"October 2025"
1386,8709.19.00,CA,Caterpillar,6x6,2004,18048,"Caterpillar 735 6x6 Dump Truck, 2004",52708.09,"October 2025"
1387,8709.19.00,CA,Caterpillar,6x6,2005,18048,"Caterpillar 735 6x6 Dump Truck, 2005",64180.05,"October 2025"
1388,8709.19.00,CA,Caterpillar,6x6,2006,18048,"Caterpillar 735 6x6 Dump Truck, 2006",67679.73,"October 2025"
1389,8709.19.00,CA,Caterpillar,6x6,2007,18048,"Caterpillar 735 6x6 Dump Truck, 2007",71289.06,"October 2025"
1390,8709.19.00,CA,Caterpillar,6x6,2008,18048,"Caterpillar 735 6x6 Dump Truck, 2008",76152.62,"October 2025"
1391,8709.19.00,CA,Caterpillar,6x6,2003,23290,"Caterpillar 740 6x6 Articulated Dump Truck, 2003",54657.96,"October 2025"
1392,8709.19.00,CA,Caterpillar,6x6,2004,23290,"Caterpillar 740 6x6 Articulated Dump Truck, 2004",58558.69,"October 2025"
1393,8709.19.00,CA,Caterpillar,6x6,2005,23290,"Caterpillar 740 6x6 Articulated Dump Truck, 2005",71304.04,"October 2025"
1394,8709.19.00,CA,Caterpillar,6x6,2006,23290,"Caterpillar 740 6x6 Articulated Dump Truck, 2006",75192.18,"October 2025"
1395,8709.19.00,CA,Caterpillar,Dump,2003,14245,"Caterpillar 740 Dump Truck, 2003",47528.66,"October 2025"
1396,8709.19.00,CA,Caterpillar,Dump,2004,14245,"Caterpillar 740 Dump Truck, 2004",50920.6,"October 2025"
1397,8709.19.00,CA,Caterpillar,Dump,2005,14245,"Caterpillar 740 Dump Truck, 2005",54305.9,"October 2025"
1398,8709.19.00,CA,Caterpillar,Dump,2006,14245,"Caterpillar 740 Dump Truck, 2006",57525.45,"October 2025"
1399,8709.19.00,CA,Caterpillar,Dump,2007,14245,"Caterpillar 740 Dump Truck, 2007",60978.12,"October 2025"
1400,8709.19.00,CA,Caterpillar,Dump,2008,14245,"Caterpillar 740 Dump Truck, 2008",64793.36,"October 2025"
1401,8709.19.00,CA,Caterpillar,Dump,2009,14245,"Caterpillar 740 Dump Truck, 2009",69377.93,"October 2025"
1402,8429.19.00,NL,Caterpillar,938K,2013,7000,"Caterpillar 938K, Wheel Loader, 2013",85481.62,"October 2025"
1403,8429.19.00,NL,Caterpillar,938K,2015,7000,"Caterpillar 938K, Wheel Loader, 2015",103146.25,"October 2025"
1404,8429.19.00,NL,Caterpillar,962G,2000,7000,"Caterpillar 962G, Wheel Loader, 2000",22928.75,"October 2025"
1405,8429.19.00,NL,Caterpillar,962G,2001,7000,"Caterpillar 962G, Wheel Loader, 2001",34393.13,"October 2025"
1407,8429.19.00,NL,Caterpillar,962K,2017,3752,"Caterpillar 962K, Wheel Loader, 2017",159142.36,"October 2025"
1408,8709.19.00,CA,Caterpillar,Tracked,1990,8927,"Caterpillar 963, Tracked Loader, 1990 as below",18745.36,"October 2025"
1409,8709.19.00,CA,Caterpillar,Tracked,1991,8927,"Caterpillar 963, Tracked Loader, 1991",19754.36,"October 2025"
1410,8709.19.00,CA,Caterpillar,Tracked,1992,8927,"Caterpillar 963, Tracked Loader, 1992",20865.57,"October 2025"
1411,8709.19.00,CA,Caterpillar,Tracked,1993,7000,"Caterpillar 963, Tracked Loader, 1993",23028.36,"October 2025"
1412,8709.19.00,CA,Caterpillar,Wheel,1990,7010,"Caterpillar 963, Wheel Loader, 1990 as below",18432.78,"October 2025"
1415,8429.19.00,US,Caterpillar,Bull,2006,140,"Caterpillar Bull Dozer,Model DRD, 2006",40653.96,"October 2025"
1416,8429.19.00,US,Caterpillar,Bulldozer,2006,4990,"Caterpillar Bulldozer Model D3GLGP, 2006",40653.96,"October 2025"
1418,8429.59.00,CA,Caterpillar,Bulldozer,1999,5000,"Caterpillar Bulldozer, Model D3G, 1999",31258.27,"October 2025"
1419,8429.59.00,CA,Caterpillar,Bulldozer,2004,5000,"Caterpillar Bulldozer, Model D3G, 2004",40755.0,"October 2025"
1420,8429.59.00,CA,Caterpillar,Bulldozer,1996,7100,"Caterpillar Bulldozer, Model D6H, 1996",25956.26,"October 2025"
1421,8429.19.00,GB,Caterpillar,Bulldozer,2011,10000,"Caterpillar Bulldozer, Model D6R 2011",90224.0,"October 2025"
1422,8429.59.00,CA,Caterpillar,Bulldozer,1992,8800,"Caterpillar Bulldozer, Model D6R, 1992",20739.72,"October 2025"
